2024-10-17 23:39:15.447 [info] Starting Python Locator /home/ec2-user/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-17 23:39:15.448 [info] Discovered env: /usr/bin/python
2024-10-17 23:39:15.450 [info] Discovered env: /bin/python
2024-10-17 23:39:15.460 [info] Locator Conda took 44.611499ms
2024-10-17 23:39:15.460 [info] Locator Homebrew took 34.292µs
2024-10-17 23:39:15.461 [info] Locator LinuxGlobal took 47.483403ms
2024-10-17 23:39:15.461 [info] Locator PipEnv took 15.744µs
2024-10-17 23:39:15.461 [info] Locator Poetry took 118.137µs
2024-10-17 23:39:15.461 [info] Locator PyEnv took 1.028946ms
2024-10-17 23:39:15.461 [info] Locator Venv took 10.073µs
2024-10-17 23:39:15.461 [info] Locator VirtualEnv took 10.289µs
2024-10-17 23:39:15.461 [info] Locator VirtualEnvWrapper took 11.339µs
2024-10-17 23:39:15.461 [info] Locator GlobalVirtualEnvs took 325.681µs
2024-10-17 23:39:15.461 [info] Locator Locators took 57.42804ms
2024-10-17 23:39:15.461 [info] Locator Path took 102.911601ms
2024-10-17 23:39:15.461 [info] Locator Workspaces took 1.159µs
2024-10-17 23:39:15.461 [info] Refresh completed in 103ms
