2024-10-12 14:10:25.196 [info] Starting Python Locator /home/ec2-user/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-12 14:10:25.197 [info] Discovered env: /bin/python
2024-10-12 14:10:25.198 [info] Discovered env: /usr/bin/python
2024-10-12 14:10:25.199 [info] Locator Conda took 37.351323ms
2024-10-12 14:10:25.199 [info] Locator Homebrew took 29.137µs
2024-10-12 14:10:25.199 [info] Locator LinuxGlobal took 39.708384ms
2024-10-12 14:10:25.199 [info] Locator PipEnv took 10.217µs
2024-10-12 14:10:25.199 [info] Locator Poetry took 80.191µs
2024-10-12 14:10:25.199 [info] Locator PyEnv took 416.165µs
2024-10-12 14:10:25.199 [info] Locator Venv took 9.6µs
2024-10-12 14:10:25.199 [info] Locator VirtualEnv took 9.335µs
2024-10-12 14:10:25.199 [info] Locator VirtualEnvWrapper took 11.537µs
2024-10-12 14:10:25.199 [info] Locator GlobalVirtualEnvs took 108.598µs
2024-10-12 14:10:25.199 [info] Locator Locators took 42.034465ms
2024-10-12 14:10:25.200 [info] Locator Path took 97.386897ms
2024-10-12 14:10:25.205 [info] Locator Workspaces took 928ns
2024-10-12 14:10:25.205 [info] Refresh completed in 97ms
