2024-10-23 01:36:08.624 [info] Starting Python Locator /home/ec2-user/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-23 01:36:08.625 [info] Discovered env: /usr/bin/python
2024-10-23 01:36:08.626 [info] Discovered env: /bin/python
2024-10-23 01:36:08.626 [info] Locator Conda took 39.346419ms
2024-10-23 01:36:08.626 [info] Locator Homebrew took 31.317µs
2024-10-23 01:36:08.626 [info] Locator LinuxGlobal took 41.514893ms
2024-10-23 01:36:08.626 [info] Locator PipEnv took 9.782µs
2024-10-23 01:36:08.626 [info] Locator Poetry took 79.485µs
2024-10-23 01:36:08.626 [info] Locator PyEnv took 86.755µs
2024-10-23 01:36:08.626 [info] Locator Venv took 10.72µs
2024-10-23 01:36:08.627 [info] Locator VirtualEnv took 11.638µs
2024-10-23 01:36:08.627 [info] Locator VirtualEnvWrapper took 9.942µs
2024-10-23 01:36:08.627 [info] Locator GlobalVirtualEnvs took 506.064µs
2024-10-23 01:36:08.627 [info] Locator Locators took 49.264967ms
2024-10-23 01:36:08.628 [info] Locator Path took 108.085447ms
2024-10-23 01:36:08.628 [info] Locator Workspaces took 1.064µs
2024-10-23 01:36:08.628 [info] Refresh completed in 108ms
